FileName, CommitSha
BlackCatRansowmare.json,ed5508684ed18ea3a0c5f3e8eb1b2ce3a4468e74
Data+Collection+Rule+Toolkit.json,0fe98120303a0bf5fa3ab74efdc248997b26c33d
Repository+Parser.json,8de254d7dafb35eacee46883397eed8eac42698b
User+agent+search+for+log4j+exploitation+attempt.json,f919b0ab7db2b52a01c2f3f3aa848530d2bf63cb
MicrosoftSentinel-ChatGPT-Playbook.json,6257bef14c115967b0c40fad669ef269f44bf17b
.github/workflows/Azure+Diagnostic+settings+removed+from+a+resource.json,c7accd2d5e54b8c03aff6307f635b88463bb068f
Log4j+vulnerability+exploit.json,91917d9c313c783a8a6d202b9176fffabd28c98f
Azure+Diagnostic+settings+removed+from+a+resource (1).json,87e62ad08480ceb5e4084060113e567cd843e817
Azure+Diagnostic+settings+removed+from+a+resource.json,c7accd2d5e54b8c03aff6307f635b88463bb068f

